Country,Population,Region,Year,State,City,Urban_Population,Rural_Population,Growth_Rate,Literacy_Rate,Density_per_km2,Birth_Rate,Death_Rate
India,14460703,West,2007,Tamil Nadu,Hyderabad,9806915,4591499,2,78.67,1091,13.49,8.65
India,8462054,North,2014,Rajasthan,Bangalore,,2959115,2.66,63.64,1140,28.88,5.01
India,8382715,Central,2002,Gujarat,Hyderabad,7687612,8032922,,88.91,1186,26.58,6.49
India,2675263,North,2013,Tamil Nadu,Kolkata,8581616,6393973,3.27,72.21,693,12.79,5.44
India,2291678,North,2016,Rajasthan,Delhi,5978910,,3.09,91.52,1005,23.42,6.52
India,14627200,Central,2003,Tamil Nadu,Kolkata,4804249,8007803,3.46,65.89,634,18.2,7.15
India,12905566,Central,2017,Gujarat,Bangalore,1700319,8745751,2.29,61.7,1314,16.23,7.72
India,2813049,West,2007,Bihar,Kolkata,4409764,4742277,1.7,75.22,605,15.82,5.25
India,2253087,Central,2003,Karnataka,Kolkata,4873479,9151344,1.22,62.74,622,23.25,7.82
India,19779934,West,2001,Tamil Nadu,Chennai,9232215,174429,1.23,62.16,1200,28.07,6.49
India,426924,South,2005,Tamil Nadu,Hyderabad,9897921,3552481,0.95,84.98,1036,26.73,5.86
India,437688,South,2021,Bihar,Kolkata,2397032,3084041,2.68,69.01,1448,16.98,10.81
India,19262232,Central,2009,UP,Hyderabad,9020038,6378292,2.46,82.36,169,24.15,6.93
India,17897864,North,2003,Tamil Nadu,Hyderabad,2576591,5773250,1.38,79.98,843,20.55,5.81
India,12857987,East,2021,Rajasthan,Delhi,9746233,6975430,3.18,64.93,627,18.81,6.79
India,3940026,North,2017,Gujarat,Bangalore,1902782,3134411,2.16,73.5,1414,15.93,13.68
India,15851386,Central,2011,Rajasthan,Chennai,4621623,5743322,0.71,62.31,579,11.62,10.29
India,12809686,West,2001,Gujarat,Delhi,1723957,7162533,0.68,74.76,1139,13.85,10.34
India,4608708,North,2009,Tamil Nadu,Chennai,5934213,9985475,0.93,66.38,1208,21.33,7.72
India,14858323,South,2003,UP,Kolkata,955892,1320591,1.13,63.37,1477,24.57,10.16
India,6372372,Northeast,2013,Gujarat,Mumbai,5580989,8700000,3.16,71.09,1245,10.74,12.36
India,8990164,Central,2015,Rajasthan,Mumbai,9862544,6377923,2.84,60.12,938,17.58,10.97
India,12283674,North,2014,Rajasthan,Chennai,48462,2108581,1.11,86.52,1025,13.32,10.37
India,4238136,Northeast,2007,Tamil Nadu,Mumbai,9228777,5682461,1.25,65.54,640,22.04,8.64
India,10982559,North,2013,Tamil Nadu,Bangalore,4991686,3175495,2.41,81.9,875,27.29,11.31
India,12220205,West,2022,Tamil Nadu,Kolkata,2934268,4299325,3.11,89.14,99,28.59,13.57
India,14387278,West,2024,Karnataka,Kolkata,3960696,1853549,1.45,92.1,943,27.7,6.91
India,12739921,West,2007,Gujarat,Bangalore,8762593,7910206,2.08,79.52,376,27.45,13.24
India,7299602,Northeast,2020,Maharashtra,Kolkata,4989932,9163737,3.17,87.59,1097,22.02,9.84
India,10299925,,2015,Karnataka,Delhi,9717114,7822294,2.81,75.92,514,14.86,14.79
India,2956868,Northeast,2012,UP,Chennai,7867836,1009347,3.17,77.16,1410,24.94,7.62
India,4108961,Central,2017,Karnataka,Kolkata,89831,9369533,1.33,79.14,1176,24.49,5.98
India,13270459,Central,2014,Rajasthan,Delhi,9118986,1362062,2.57,83.45,1078,13.33,6.61
India,3296532,South,2020,Karnataka,Bangalore,2370084,2436400,0.84,83.45,488,13.9,5.19
India,18727273,South,2023,Bihar,Kolkata,2487852,300858,2.35,87.49,1372,12.19,8.65
India,10302881,Central,2024,UP,Bangalore,801878,952203,1.41,81.59,174,19.97,8.2
India,12059042,North,2012,UP,Bangalore,3757040,9078557,2.6,90.89,207,16.43,11.38
India,834514,Central,2008,UP,Hyderabad,2281277,2995166,0.93,84.82,373,28,6.63
India,9511064,East,2014,Karnataka,Mumbai,4744325,5036973,2.5,92.51,758,10.73,12.61
India,18746803,South,2012,UP,Delhi,8726386,5845433,2.63,86.27,1454,16.48,8.23
India,11977807,South,2000,Gujarat,Delhi,8852213,9428714,3.07,85.85,1478,27.52,13.76
India,13027630,Northeast,2024,Bihar,Kolkata,133584,1525765,2.56,90.11,1477,,6.83
India,11261312,South,2006,Tamil Nadu,Kolkata,1302385,2237600,2.07,82.95,342,24.46,12.97
India,6810510,Central,2008,Karnataka,Bangalore,9711225,6119223,2.85,66.29,1410,,6.86
India,10956401,South,2023,Tamil Nadu,Kolkata,5747707,7557043,1.35,62.9,546,10.32,5.2
India,2916792,South,2000,Tamil Nadu,Hyderabad,6653027,3093031,2.53,71.05,1224,25.43,5.58
India,15533602,Northeast,2011,Karnataka,Delhi,1879940,1487773,2.67,88.5,261,19.23,13.16
India,18981099,Central,2007,Gujarat,Pune,8624514,546353,1.68,60.76,432,23.81,10.33
India,7465042,North,2023,Karnataka,Delhi,8160490,5811221,3.47,65.25,826,18.6,8.21
India,10487221,South,2010,UP,Hyderabad,5300051,6405133,1.57,63.71,1291,21.39,11.41
India,19173459,South,2018,Bihar,Bangalore,1613907,9814685,0.75,61.3,1154,15.2,8.77
India,4315630,South,2016,Karnataka,Hyderabad,5280302,9475470,1.41,88.36,1448,21.48,13.2
India,3729020,East,2007,Tamil Nadu,Mumbai,2795463,4584707,0.8,69.79,1296,15.82,12.48
India,16280138,Central,2002,Karnataka,Delhi,7388475,6267820,1.52,85.51,262,15.61,9.67
India,16328720,South,2002,Bihar,Mumbai,9801302,2252808,0.88,64.97,1164,16.54,5.11
India,17316184,East,2000,Maharashtra,Delhi,9366292,6686671,1.82,74.31,368,14.02,10.19
India,18407312,North,2004,Gujarat,Mumbai,8551783,4318939,2.83,64.08,75,14.46,8.83
India,5871934,North,2009,Tamil Nadu,Delhi,6679029,6442651,0.7,60.09,1309,28.63,10.94
India,18520681,Northeast,2006,Maharashtra,Pune,6575094,6728532,2.19,81.46,344,19.09,6.61
India,13861102,Northeast,2008,Maharashtra,Bangalore,7560343,3479945,0.63,76.83,1216,22.28,11.65
India,12114537,Northeast,2006,Rajasthan,Pune,4301089,5980584,3.15,74.58,1263,21.44,7.06
India,8026726,East,2008,Bihar,Chennai,1031837,3708551,3.26,62.75,1131,15.31,14.8
India,12746605,North,2007,Gujarat,Hyderabad,8289963,9962176,1.98,80.59,669,10,13.19
India,18934935,Northeast,2011,Karnataka,Delhi,1641470,5035219,2.81,87.3,1104,12.09,6.81
India,14411816,West,2001,Maharashtra,Hyderabad,9253928,9090247,2.28,62.35,260,26.62,10.44
India,7652495,Northeast,2000,Rajasthan,Delhi,8373230,5520315,1.52,74.47,1177,12.19,9.55
India,6040266,North,2015,UP,Chennai,9166399,8618581,1.24,70.9,678,14.14,13.11
India,15783431,West,2022,Karnataka,Bangalore,4280074,5171470,2.78,91.22,1366,28.26,12.4
India,10741219,East,2022,Gujarat,Bangalore,3747987,2676097,1.79,69.19,1135,26.16,7.96
India,10596792,West,2023,Tamil Nadu,Hyderabad,9362903,9674832,3.26,93.05,1120,11.07,8.64
India,17526654,North,2004,Karnataka,Pune,798833,1759631,3.43,88.99,760,22.87,5.6
India,5119398,South,2002,Bihar,Chennai,9123978,2359794,1.13,63.51,1129,20.31,10.67
India,7203588,West,2011,Rajasthan,Hyderabad,6846275,695985,2.18,76.82,1313,17.3,12.59
India,4242896,North,2007,Bihar,Bangalore,9569732,8757922,2.11,82.72,834,19.95,9.19
India,5737041,Northeast,2021,Tamil Nadu,Mumbai,8223551,621441,3.1,80.76,1467,13.02,14.46
India,19504265,South,2002,Tamil Nadu,Hyderabad,3593972,4111513,2.57,83.77,1262,29.1,6.37
India,19116002,East,2000,Tamil Nadu,Delhi,6086342,170017,2.32,74.92,1215,13.43,13.91
India,16626973,East,2002,Rajasthan,Kolkata,420604,1483107,2.54,91.67,936,13.72,5.22
India,19672373,Central,2004,Rajasthan,Bangalore,8907062,2615874,1.67,69.46,1186,17.38,14.13
India,5270761,East,2014,Bihar,Delhi,3999119,1146727,3.38,63.29,442,14.25,8.06
India,17046378,Central,2013,Gujarat,Chennai,7385576,1079612,0.67,94.23,257,16.26,6.1
India,15806316,East,2002,Rajasthan,Pune,4584971,2221933,0.59,82.82,1146,10.8,14.89
India,14659069,East,2000,Gujarat,Pune,8318674,3119760,1.75,83.07,1340,22.29,12.45
India,2891852,East,2004,Rajasthan,Bangalore,8513029,4143741,0.96,88.61,716,14.82,10.3
India,16479440,Central,2022,Karnataka,Bangalore,8771996,9920657,2.13,74.75,1215,29.42,8.94
India,3363723,Northeast,2013,Maharashtra,Pune,6125857,9010214,0.53,73.52,831,12.28,7.55
India,1390522,Central,2006,Maharashtra,Hyderabad,4911855,7536693,1.88,93.22,846,11.55,10.97
India,18228267,West,2008,UP,Kolkata,4447378,7511640,1.38,73.54,188,13.48,9.49
India,10991880,North,2014,Bihar,Pune,3462166,4755669,1.11,62.75,1472,20.85,10.06
India,7319122,North,2014,Tamil Nadu,Pune,9959073,2546209,1.83,70.77,1245,24.95,9.62
India,15581665,Northeast,2009,Gujarat,Hyderabad,9481407,2205671,3.06,90.57,1087,21.18,
India,12619121,North,2012,Rajasthan,Delhi,4897312,6806516,2.47,63.32,524,27.21,
India,12452783,East,2018,Karnataka,Hyderabad,5096976,2899605,0.98,85.08,1076,21.87,
India,15460140,Northeast,2006,Gujarat,Mumbai,7887839,9573491,2,69.32,1387,12.77,13.35
India,7399336,North,2016,Bihar,Bangalore,5809448,8527210,3.3,86.1,831,13.71,7.68
India,12762763,Central,2019,UP,Pune,3517782,3967051,1.82,78.01,1370,17.15,7.48
India,7772905,West,2003,Gujarat,Kolkata,197911,8338532,1.91,82.28,834,28.4,10.77
India,9546806,South,2004,Maharashtra,Chennai,9764407,7794703,3.32,68.51,770,19.2,
India,3512087,West,2022,Karnataka,Bangalore,6442904,330603,0.91,65.88,915,,10.52
India,10120126,North,2006,Maharashtra,Kolkata,6443306,3145060,2.71,62.22,1295,11.49,6.12
India,11833445,Northeast,2012,Karnataka,Pune,1696443,5771424,1.4,88.9,,23.73,13.65
India,17113388,North,2014,Tamil Nadu,Delhi,1235759,396994,3.1,,1493,19.34,12.47
India,15293680,Central,2010,Karnataka,Pune,2328188,,0.66,70.27,295,13.46,7.39
India,15019509,West,2003,Rajasthan,Kolkata,,1421475,3.47,89.29,849,11.63,11.3
India,12933071,Central,2012,Tamil Nadu,,6723555,3317608,2.81,89.18,456,16.31,7.25
India,8132668,Central,2006,Bihar,,4030883,7173781,1.35,64.82,986,26.41,9.25
India,611133,South,2018,Maharashtra,Hyderabad,1020010,3530640,2.78,84.98,513,22.81,7.37
India,18476474,Central,2021,Karnataka,Pune,,1816843,3.27,70.23,1297,19.24,10.97
India,4419535,Central,2001,Karnataka,Delhi,6514808,,0.84,76.35,348,26.91,8.03
India,15035922,South,2009,UP,Kolkata,1259168,2268316,,,,13.62,6.68
India,7470754,East,2012,Maharashtra,Hyderabad,6256612,8012019,1.58,81.01,723,15.58,5.6
India,16795865,East,2024,Bihar,Chennai,78150,9505326,0.52,72.15,1234,21.08,11.32
India,18492634,Northeast,2020,Tamil Nadu,Pune,7260186,6184635,0.84,62.56,,21.79,10.97
India,11633598,South,2005,Bihar,Delhi,8293359,6705730,3.15,83.54,1066,16.42,6.95
India,15693927,Northeast,2011,UP,Bangalore,9483111,3317461,3.45,,100,20.09,5.03
India,13482140,Northeast,2011,Bihar,Kolkata,3426730,683721,3.19,83.38,1261,12.4,6.36
India,17522735,Central,2019,Tamil Nadu,Bangalore,2708474,3646277,1.82,78.89,184,10.22,8.05
India,8679348,Northeast,2010,Maharashtra,Chennai,7742961,3482866,3.38,65.73,1049,28.1,10.23
India,18137920,North,2022,Gujarat,Mumbai,1307093,9739615,1.72,81.88,179,18.83,13.86
India,16524209,West,2024,UP,Hyderabad,1643683,9384843,0.84,81.39,724,14.62,7.1
India,5691335,North,2006,Rajasthan,Pune,7613245,511420,1.52,81.66,97,16.6,7.15
India,11306100,North,2000,Karnataka,Bangalore,4170099,6261915,3.5,91.23,1336,20.35,13.44
India,11425616,Central,2000,Karnataka,Pune,5715064,5180641,2.38,85.07,510,28.93,10.08
India,6446153,West,2024,Maharashtra,Chennai,1622445,1825000,1.52,87.42,1325,24.42,11.91
India,12072411,Northeast,2024,Gujarat,Hyderabad,1954369,1842459,2.37,70.97,1140,28.96,8.47
India,11815908,West,2019,Bihar,Delhi,1156808,7780773,1.79,69.46,1400,12.24,13.39
India,7098586,Northeast,2012,Rajasthan,Pune,1093062,7058977,0.65,67.24,495,13.57,9.5
India,10107771,East,2008,Rajasthan,Chennai,510641,8691109,1.1,87.24,744,17.26,14.03
India,5271995,South,2002,Karnataka,Kolkata,7480458,5921069,0.56,84.45,285,14.89,9
India,11747377,Central,2006,UP,Delhi,5578809,6670608,1.26,71.97,396,29.14,13.09
India,18414577,Northeast,2005,Gujarat,Kolkata,117620,3639289,2.72,64.94,205,13.42,5.56
India,14076520,Northeast,2007,Tamil Nadu,Delhi,3873978,9391793,1.08,89.63,1139,13.4,11.83
India,15508556,West,2008,Rajasthan,Delhi,6599103,4898923,2.08,73.45,97,19.75,6.42
India,10392531,Central,2004,Bihar,Hyderabad,3890249,8343301,2.6,66.64,469,23.94,13.97
India,1813190,Northeast,2000,Gujarat,Mumbai,465104,2667957,2.15,65.05,1051,17.59,14.65
India,17984809,East,2018,Rajasthan,Pune,6222048,6775596,0.55,92.19,503,10.87,8.21
India,905817,North,2009,Tamil Nadu,Delhi,5640682,4726888,1.59,64.56,1060,25.32,10.63
India,3300881,Northeast,2011,Gujarat,Bangalore,7618056,2558207,1.82,72.59,511,28.91,9
India,17385330,West,2023,Gujarat,Hyderabad,8813122,97594,1.53,82.13,104,26.21,11.13
India,1707106,East,2014,Bihar,Hyderabad,4893509,9219240,2.14,74.28,422,26.8,8.54
India,18785290,Central,,UP,Delhi,4847177,7234008,2.04,76.71,1472,26.96,13.19
India,1672964,Northeast,2023,Tamil Nadu,Bangalore,5043288,940799,1.06,88.09,111,25.19,5.31
India,6204482,East,,UP,Chennai,8323459,1405832,2.76,94.97,759,26.11,12.41
India,408349,East,2019,Tamil Nadu,Hyderabad,7794773,9439929,0.98,76.35,711,11.53,5.14
India,17888601,East,2016,Rajasthan,Delhi,8188841,9062600,1.88,73.26,541,11.09,14.63
India,16826869,East,,Rajasthan,Pune,5880647,4166540,2.77,74.24,1098,11.5,5.41
India,9598310,East,2019,Bihar,Delhi,9218347,6696585,2.59,72.92,484,21.83,12.95
India,8791073,East,,UP,Pune,9476824,5864546,1.8,76.58,895,14.82,12
India,4813090,South,2006,Rajasthan,Pune,3262444,70973,2.87,71.66,1158,10.56,13.61
India,8030571,Central,2001,Bihar,Mumbai,699256,8736883,2.64,76.19,795,11.53,6.28
India,10052457,North,2002,Gujarat,Mumbai,4270919,555363,1.65,93.09,491,11.37,8.55
India,13451353,Central,2016,Gujarat,Kolkata,7474573,5949139,3.19,70.02,1058,22.55,5.86
India,19923966,West,2004,Bihar,Chennai,4721670,1471046,0.93,82.82,1338,12.86,7.88
India,13960337,West,2016,Tamil Nadu,Chennai,1342352,5962548,1.58,77.04,283,26.91,11.09
India,12982674,Central,2023,Rajasthan,Pune,6924106,5978470,2.59,85.63,1468,29.85,14.7
India,13203865,East,,Gujarat,Chennai,3973376,4876319,3.12,76.53,866,18.82,7.54
India,868706,South,2016,Tamil Nadu,Kolkata,4997479,4241957,1.47,65.62,270,20.75,
India,10681835,North,2001,UP,Chennai,1471916,66262,2.18,90.53,1014,15.2,9.08
India,1784802,Northeast,2001,Karnataka,Delhi,2899575,3387463,0.54,83.65,905,23.11,
India,13834548,Northeast,,Gujarat,Delhi,5822007,3042533,1.61,78.41,1126,28.3,11.88
India,6187875,East,2022,Gujarat,Delhi,4861803,3455907,1.49,89.09,1270,13.62,
India,14951580,Central,,Maharashtra,Bangalore,7510617,3375387,3.03,94.17,307,29.06,13.78
India,12245370,Northeast,2000,Tamil Nadu,Pune,941788,977156,0.72,74.33,1416,14.43,9.15
India,18601690,Central,2000,Bihar,Chennai,1104879,5514689,0.69,72.36,1169,15.32,13.74
India,17380576,South,2018,Maharashtra,Bangalore,8621499,2751096,1.83,86.38,833,28.23,12.35
India,4278021,South,2001,UP,Hyderabad,1870306,6855733,1.72,75.91,470,21.87,12.79
India,10915106,Central,2020,Maharashtra,Pune,6573952,9581399,0.98,63,360,10.63,
India,13594707,East,2011,Maharashtra,Kolkata,6314578,1010327,1.29,72.4,1128,26.06,13.13
India,434533,East,2005,Karnataka,Hyderabad,1335927,2890244,3.42,88.3,265,22.84,10.61
India,4353829,East,,Karnataka,Delhi,2803453,2066067,2.04,84.73,743,24.86,6.69
India,18088884,Northeast,2003,Maharashtra,Hyderabad,6985231,825538,0.76,90.2,1412,13.24,13.92
India,19977590,North,2022,Karnataka,Delhi,8640910,9996207,0.65,65.13,301,27.46,
India,2449009,North,2010,Rajasthan,Kolkata,3466465,4928531,0.63,68.54,1369,25.66,13.98
India,1428656,East,2023,Karnataka,Pune,2317804,4344967,1.67,67.52,1202,29.15,10.76
India,4528633,Central,2016,Maharashtra,Pune,9109124,8090803,3.1,94,292,18.18,5.51
India,8785015,South,,Tamil Nadu,Kolkata,5909737,7056877,3,65.91,281,20.37,
India,7095472,West,2023,Karnataka,Kolkata,1135282,9271015,1.6,80.93,1156,24.03,5.26
India,17596369,South,2004,Maharashtra,Chennai,1723173,2371895,2.82,82.15,1206,12.09,5.99
India,18335562,South,2019,Tamil Nadu,Bangalore,2460337,6346863,2.76,81.66,70,14.21,8.37
India,17631211,West,2001,Gujarat,Delhi,7496744,8696314,1.95,84.21,616,15.77,11.31
India,14276505,East,2005,Karnataka,Mumbai,6370928,1902874,1.71,76.94,965,28.9,9.28
India,18075936,South,2021,Maharashtra,Kolkata,6043747,66299,1.04,62.93,1451,10.03,8.98
India,5210025,West,2010,Karnataka,Mumbai,631453,646475,1.34,84.54,1027,29.88,9.28
India,8352146,Northeast,2015,Tamil Nadu,Chennai,3767377,4632168,1.52,69.84,584,17.91,6.27
India,2886934,Central,2015,Rajasthan,Kolkata,7386213,500109,2.94,62.66,1028,22.97,11.99
India,15225403,Central,2000,Maharashtra,Bangalore,5565098,9804012,2.16,65.94,315,18.21,7.01
India,10454819,Central,2008,Tamil Nadu,Delhi,8979926,1996754,1.1,70.05,1071,25.68,9.35
India,6994075,East,2005,Gujarat,Chennai,4225429,646581,0.79,75.14,547,29.01,14.7
India,13317682,South,2015,Bihar,Bangalore,6317257,1375485,1.99,90.15,993,18.96,14.28
India,1137241,South,2002,UP,Mumbai,5843065,4637887,2.5,78.78,918,13.6,12.69
India,10813861,North,2019,Rajasthan,Delhi,7146154,5439122,2.96,76.52,1246,14.44,13.86
India,11501391,Central,2003,Bihar,Bangalore,5877351,3665464,2.89,66.69,83,15.32,11.85
India,13614005,East,2018,Karnataka,Hyderabad,2236514,2914116,2.97,93.57,494,14.43,13.2
India,12416776,West,2002,Tamil Nadu,Delhi,9472161,8708859,1.84,91.8,413,10.26,7.48
India,19038196,East,2018,Maharashtra,Hyderabad,3732209,2350427,3.1,88.56,1414,27.24,9.55
India,8047018,South,2019,Rajasthan,Pune,3804897,4243290,1.83,71.31,113,23.62,7.87
India,17966607,Central,2006,Tamil Nadu,Pune,6144057,5408838,1,79.66,729,20.32,5.38
India,13876382,North,2019,Karnataka,Pune,1245035,5424734,1.69,73.61,1117,12.94,7.4
India,9427877,Northeast,2008,Maharashtra,Chennai,7191582,4199796,1.52,74.1,160,10.81,7.56
India,15943354,East,2000,Rajasthan,Bangalore,311108,9812048,1.68,62.52,1024,17.69,11.85
India,5558833,North,2007,Bihar,Pune,3736623,8068998,2.48,64.9,967,10.11,8.43
India,1919883,South,2006,Tamil Nadu,Kolkata,3891821,436443,2.47,93.64,347,11.14,7.16
India,321609,West,2017,UP,Bangalore,6072884,9638172,1.17,81.35,568,11.47,5.13
India,2343474,East,2007,Rajasthan,Bangalore,8315516,2340873,1.45,60.22,293,26.32,9
India,12123874,Northeast,2000,Gujarat,Bangalore,4009432,3985119,2.29,88.32,945,24.52,12.71
India,6387479,South,2010,Gujarat,Delhi,943449,3271169,0.75,63.05,1253,16.19,11.27
India,5918518,Central,2024,Karnataka,Kolkata,2925463,4731333,2.57,84.79,235,16.08,13.98
India,8616304,East,2024,Karnataka,Hyderabad,5269199,1032294,1.04,81.73,744,16.89,10.74
India,1639291,North,2017,Tamil Nadu,Hyderabad,8328469,494966,3.05,62.2,867,21.31,5.48
India,17253708,East,2022,Bihar,Chennai,2885115,3097895,1.7,78.58,735,27.2,9.36
India,3005227,South,2009,Bihar,Pune,5812959,3174700,1.16,61.66,220,19.54,9.2
India,2357236,South,2002,UP,Chennai,6754439,6623545,2.5,62.25,686,12.97,13.49
India,9621695,North,2006,UP,Bangalore,7708259,3580426,2.16,61.79,1387,13.17,11.57
India,15209128,Northeast,2015,Tamil Nadu,Mumbai,5080931,571817,1.02,68.94,482,11.14,7.66
India,14424179,South,2015,Maharashtra,Mumbai,5808826,9596538,2.98,88.06,151,24.81,12.01
India,3274400,East,2024,Bihar,Kolkata,5746661,8218711,1.86,72.69,1457,17.98,13.31
India,13105831,Northeast,2019,Rajasthan,Bangalore,6899457,1095587,0.96,82.38,919,28.36,5.57
India,15795940,North,2016,Rajasthan,Pune,4979464,678718,2.89,64.37,773,16.2,12.21
India,5703278,South,2001,Rajasthan,Hyderabad,9294875,3553819,0.9,92.65,728,25.97,12.95
India,513723,South,2000,Maharashtra,Chennai,4294279,738727,3.4,77.65,439,19.9,8.61
India,17513979,East,2015,Maharashtra,Delhi,5545969,8253395,1.83,60.86,128,26.97,14.51
India,7149312,South,2011,Tamil Nadu,Mumbai,789851,4590003,2.68,78.81,131,21.23,13.32
India,16400963,East,2004,UP,Kolkata,3893195,5942806,1.86,66.46,284,13.85,7.63
